Episode_title	Episode_runtime	Released_on 
Daya's Romantic Fantasy	20 mins	24 Mar 2020
The Party Pooper	19 mins	12 Feb 2013
The Threat	20 mins	12 Feb 2013
The Ladies' Party	19 mins	13 Feb 2013
The La Hula Dance	19 mins	13 Feb 2013
Gokuldham Women In Trouble	21 mins	14 Feb 2013
Gokuldham's Flower Power	20 mins	14 Feb 2013
Ladies Versus Lovely	18 mins	15 Feb 2013
Ranbir Kapoor At Gokuldham	19 mins	15 Feb 2013
The First Date	19 mins	16 Feb 2013
Cheer Up, Popatlal!	21 mins	16 Feb 2013
Gokuldham Meets Bebo	19 mins	17 Feb 2013
The Upset Tapu Sena	20 mins	17 Feb 2013
The Ganeshotsav Celebrations	19 mins	18 Feb 2013
Rats For The Ganpati Festival	20 mins	18 Feb 2013
The Silver Coconut	21 mins	19 Feb 2013
Bhide Is Cheated	21 mins	19 Feb 2013
The Antique Idol	18 mins	20 Feb 2013
Gokuldham Celebrates Ganesh Chaturthi!	21 mins	20 Feb 2013
Let The Singing Begin!	21 mins	21 Feb 2013
Antakshari Times!	21 mins	21 Feb 2013
The Antakshari Battle Continues!	18 mins	22 Feb 2013
The Singing Cop	19 mins	22 Feb 2013
The Buzzer Round	41 mins	23 Feb 2013
A Musical Contest	19 mins	24 Feb 2013
Meet The Maestro Anand Ji!	20 mins	24 Feb 2013
The Antakshari Aftermath	17 mins	25 Feb 2013
Sweets From Gujarat!	20 mins	03 Mar 2013
The Three Generations	19 mins	03 Mar 2013
The Bomb	21 mins	04 Mar 2013
Evacuate Gokuldham!	18 mins	04 Mar 2013
A False Alarm	20 mins	05 Mar 2013
Rocking Solution	20 mins	05 Mar 2013
The Delivery	19 mins	06 Mar 2013
A Rocky Ride	20 mins	06 Mar 2013
The Traffic Police	20 mins	07 Mar 2013
Out Of Fuel!	21 mins	07 Mar 2013
The Boxes	20 mins	08 Mar 2013
The Gada Boutique	20 mins	08 Mar 2013
Tony TV	18 mins	09 Mar 2013
The Chinese Navratri	19 mins	09 Mar 2013
The Never Ending Problem	19 mins	10 Mar 2013
Somebody Save Jethalal!	19 mins	10 Mar 2013
A Bizarre Solution	19 mins	11 Mar 2013
Make Way For A New Problem	18 mins	11 Mar 2013
Natu Kaka's Unique Way To Convince Jethalal To Increase His Salary	19 mins	06 Nov 2012
Jeannie Gets A Difficult Task From Popatlal	17 mins	07 Nov 2012
Bapuji Surprised To Meet The Star Cast Of Son Of Sardar	19 mins	08 Nov 2012
Ajay Devgn's Unique Way Of Informing Good News To Colony Members	17 mins	09 Nov 2012
An Unknown Biker Handovers A Letter To Babita	19 mins	12 Nov 2012
Tapu Sena's Mind	19 mins	13 Nov 2012
Gokuldham Members Meet The Star Cast Of Son Of Sardar	20 mins	14 Nov 2012
Taarak Mehta Celebrates 1000 Episodes With Actor Ajay Devgn And Sonakshi Sinha	20 mins	15 Nov 2012
Producer Asitkumarr Modi Gives A Unique Surprise	18 mins	16 Nov 2012
Taarak Mehta And His Whole Team Worship Goddess Amba	19 mins	19 Nov 2012
Tapu Sena Firmly Decide To Collect Rs	18 mins	20 Nov 2012
Tapu Sena's Mind	20 mins	21 Nov 2012
Tapu Sena Involve 2 Members In Their Secret Plan	17 mins	22 Nov 2012
Tapu Sena's Special Show Night In Gokuldham Society	19 mins	23 Nov 2012
Tapu Sena's Emotional Skit	21 mins	26 Nov 2012
Tapu Sena Collects A Whopping Amount For Their Project Roshni	20 mins	27 Nov 2012
Principal Takes A Drastic Step Against Tapu Sena	20 mins	28 Nov 2012
Jethalal Rages At Tapu	16 mins	29 Nov 2012
Tapu Goes Missing	19 mins	30 Nov 2012
Felicitation Ceremony Of Tapu Sena	20 mins	03 Dec 2012
Jethalal Is Overweight	20 mins	04 Dec 2012
Jethalal Finds A Rocking Solution To Reduce His Weight	19 mins	05 Dec 2012
New Guest In Bhide's House	20 mins	06 Dec 2012
Bhide's Hunt For A Diamond Jeweller	20 mins	07 Dec 2012
Ajit Kaka Slaps Bhide	20 mins	10 Dec 2012
Daya Is Immensely Missing Jethalal	17 mins	11 Dec 2012
Gulaab Gets Surprised To See Her Husband's Photo In Gada House	20 mins	12 Dec 2012
Daya Challenges Gulaab	19 mins	13 Dec 2012
Tapu Goes Missing	18 mins	14 Dec 2012
The Revealing Truth	18 mins	17 Dec 2012
Runaway Jethalal	20 mins	18 Dec 2012
The Kashmiri Tale	20 mins	19 Dec 2012
The Film Shooting	20 mins	20 Dec 2012
Gulaabo's Next Step	20 mins	21 Dec 2012
Legal Notice To Jethalal	21 mins	24 Dec 2012
Gulabo At Home	20 mins	25 Dec 2012
Search For A Lawyer	19 mins	26 Dec 2012
Lunch For Jethalal	21 mins	27 Dec 2012
The Wives	20 mins	28 Dec 2012
Gulabo's Resolution	19 mins	31 Dec 2012
The Will To Succeed	19 mins	01 Jan 2013
Victory For Gulabo	20 mins	02 Jan 2013
The Courts Order	20 mins	03 Jan 2013
Jetha's Court Case	21 mins	24 Mar 2020
A Gathering At The Court	18 mins	24 Mar 2020
Gokuldham Against The Judge	20 mins	24 Mar 2020
Daya's Confession	19 mins	24 Mar 2020
Champaklals Anger	20 mins	24 Mar 2020
Finding A Solution	20 mins	24 Mar 2020
Popatlal Becomes A Detective	20 mins	24 Mar 2020
Jetha's Spoiled Name	20 mins	24 Mar 2020
Jetha Brings Home His Bride	19 mins	25 Mar 2020
Missing Jetha	20 mins	25 Mar 2020
Jetha Becomes A Monk	21 mins	25 Mar 2020
Jethas Decision	19 mins	25 Mar 2020
The Ultimate Blackmail	18 mins	25 Mar 2020
Gulabo Agrees	20 mins	25 Mar 2020
Daya Teases Jetha	20 mins	25 Mar 2020
Tapu Sena's Plan	20 mins	25 Mar 2020
The Chief Guests	42 mins	25 Mar 2020
Chachajis Words Of Wisdom	20 mins	25 Mar 2020
Daya Has A Request	21 mins	25 Mar 2020
Dayas Demands	20 mins	25 Mar 2020
A Mishap	20 mins	25 Mar 2020
Where Is Bagha?	19 mins	25 Mar 2020
Taunting Jethalal	20 mins	25 Mar 2020
The Kids Play Smart	21 mins	25 Mar 2020
Tapu Tricks Jetha	20 mins	25 Mar 2020
Where Is The Ring?	20 mins	25 Mar 2020
The Kids Have A Request	20 mins	25 Mar 2020
Tapu Is Anxious	20 mins	25 Mar 2020
Where Is Sonus Phone?	19 mins	26 Mar 2020
Bhide Breaks The Phone	19 mins	26 Mar 2020
Funny Pcitures	19 mins	26 Mar 2020
Goli Scares His Friend	19 mins	26 Mar 2020
Babitas Advice To Jetha	19 mins	26 Mar 2020
Where Are The Cellphones?	19 mins	26 Mar 2020
Jetha Is Distracted	20 mins	26 Mar 2020
Taarak Spots The Kids	19 mins	26 Mar 2020
Tapu Sena Exposed	20 mins	26 Mar 2020
Forgiveness	20 mins	26 Mar 2020
The Chocolate Pill	19 mins	26 Mar 2020
The Water Problem	17 mins	26 Mar 2020
The Broken Lock	19 mins	26 Mar 2020
The Unexpected Patient	19 mins	26 Mar 2020
English Lessons	20 mins	26 Mar 2020
Bharti Is Ready	18 mins	26 Mar 2020
The Fight	17 mins	26 Mar 2020
Women Are Not Objects	19 mins	26 Mar 2020
Daya Makes Fun Of Jetha	17 mins	26 Mar 2020
The Dog Chase	19 mins	26 Mar 2020
Be Kind To All	19 mins	26 Mar 2020
Empathy	20 mins	26 Mar 2020
The Muncipal Corporation Intervenes	19 mins	26 Mar 2020
Jetha Dines With Natu Kaka And Bagha	19 mins	26 Mar 2020
Babita Waits For Jetha	20 mins	26 Mar 2020
A Mans Best Friend	19 mins	26 Mar 2020
Is Gogi At Fault?	19 mins	26 Mar 2020
Bhides Surprise	20 mins	26 Mar 2020
Surprise For Babita	19 mins	26 Mar 2020
Jetha Gives A Task	20 mins	26 Mar 2020
Keeping Away Sheru	20 mins	26 Mar 2020
Daya Talks To Ajay	19 mins	26 Mar 2020
Himmatwala	19 mins	26 Mar 2020
Jethas Prank	20 mins	26 Mar 2020
Popatlals Dreams Of Marriage	18 mins	26 Mar 2020
A Dog House	17 mins	26 Mar 2020
Sheru Goes Missing	18 mins	26 Mar 2020
Popatlal Is Rude To Chalu Pandey	18 mins	26 Mar 2020
The Advertisement	18 mins	26 Mar 2020
The Kidnappers	19 mins	26 Mar 2020
The Confession	18 mins	26 Mar 2020
The Decision	18 mins	26 Mar 2020
Emergency At Roshans Place	20 mins	26 Mar 2020
The Trip To Amritsar	17 mins	26 Mar 2020
A Task For Bagha	19 mins	26 Mar 2020
Jetha Shares The Secret	18 mins	26 Mar 2020
Gogi Troubles Everyone	20 mins	26 Mar 2020
Everyone Praises Bhide	20 mins	26 Mar 2020
Champaklal Sits On Jetha	20 mins	26 Mar 2020
Finding Gogis ID Card	19 mins	26 Mar 2020
Jetha Is Upset	20 mins	26 Mar 2020
Cancelled Cricket	18 mins	26 Mar 2020
Decision Of The Society	18 mins	26 Mar 2020
Daya Defends The Children	18 mins	26 Mar 2020
Iyer Trash Talks Jetha	20 mins	26 Mar 2020
Tapu Sena On A Mango Mission	19 mins	26 Mar 2020
Tapu Sena Gets Caught	19 mins	26 Mar 2020
Jetha Handles The Situation	19 mins	26 Mar 2020
Jetha And Daya On A Mission	20 mins	26 Mar 2020
Anjali's Plan For Iyer And Babita	20 mins	26 Mar 2020
Gogi Ruins The Plan	17 mins	27 Mar 2020
The Signature Situation	19 mins	27 Mar 2020
Daya Apolozies To Jetha	18 mins	27 Mar 2020
Iyer Gets Jealous	20 mins	27 Mar 2020
Babita Looks For Jetha	20 mins	27 Mar 2020
Jetha Gets A Card For Babita	18 mins	27 Mar 2020
Jetha's Sweet Gesture	18 mins	27 Mar 2020
Tapu Fools Jetha And Daya	19 mins	27 Mar 2020
Tapu Tries To Convince Jethalal	19 mins	27 Mar 2020
Jetha Gets Mad With Excitement	20 mins	27 Mar 2020
Bhide Creates Chaos	20 mins	27 Mar 2020
Champaklal's Good Old Days	19 mins	27 Mar 2020
Champaklal Has Decided	19 mins	27 Mar 2020
Jetha Finds A Way	19 mins	27 Mar 2020
The Great Grand Confusion	19 mins	27 Mar 2020
Daya Gets Romantic	19 mins	27 Mar 2020
Jetha Being Accused	20 mins	27 Mar 2020
The Mystery Man	18 mins	27 Mar 2020
Champaklal Goes Insane	19 mins	27 Mar 2020
Bollywoods Muscle Man In Society	37 mins	27 Mar 2020
Dharam Garam Interacts	20 mins	27 Mar 2020
The Mystery Unfolds	19 mins	27 Mar 2020
Mr	19 mins	27 Mar 2020
Dreams And Imagination	19 mins	27 Mar 2020
Taarak Counsels Jetha -	20 mins	27 Mar 2020
Daya Interrupts Jetha	18 mins	27 Mar 2020
Daya Scares Popatlal	19 mins	27 Mar 2020
Bhide Is All Praises	18 mins	27 Mar 2020
The Coaching Scam	15 mins	27 Mar 2020
Jetha Is Furious With Bhide	18 mins	27 Mar 2020
Jethalal Is Upset	18 mins	27 Mar 2020
Iyer Praises Bhide	18 mins	27 Mar 2020
Jethalal Reveals The Truth	19 mins	27 Mar 2020
Bhides House Locked	18 mins	27 Mar 2020
Coaching Head Threatens Bhide	19 mins	27 Mar 2020
Gokuldhams Unity	16 mins	27 Mar 2020
Erroneous Proofs	19 mins	27 Mar 2020
Daya Blabbers	19 mins	27 Mar 2020
Khote Is Alarmed	19 mins	27 Mar 2020
Daya Has A Suggestion	16 mins	27 Mar 2020
Cricket Andolan	20 mins	27 Mar 2020
Popatlal Causes Trouble	19 mins	27 Mar 2020
The Anger	20 mins	27 Mar 2020
Jetha Praises Bhide	19 mins	27 Mar 2020
Daya Plays Peek-A-Boo	20 mins	27 Mar 2020
Dance In The Rain	20 mins	27 Mar 2020
Jetha Splattered With Mud	20 mins	27 Mar 2020
Anjali Is Suspicious	20 mins	27 Mar 2020
Taarak Makes Way For Suspicion	20 mins	27 Mar 2020
Anjali Breaks Down	18 mins	12 Jul 2013
Daya Sympathizes With Anjali	20 mins	27 Mar 2020
Jethalal Lies To Champaklal	20 mins	27 Mar 2020
Jethalal Is Shocked	20 mins	27 Mar 2020
The Misconception	21 mins	27 Mar 2020
Football In Rain	20 mins	27 Mar 2020
Bhides Carom Skills	20 mins	27 Mar 2020
Dayas Drama	19 mins	27 Mar 2020
The Notice	18 mins	27 Mar 2020
No Trespassing	18 mins	27 Mar 2020
The Court Case	19 mins	27 Mar 2020
The Terms And Conditions	41 mins	27 Mar 2020
The Super Star	20 mins	27 Mar 2020
The Goodness Of Gokuldham	22 mins	27 Mar 2020
The Dance Off	22 mins	27 Mar 2020
Tapu Sena Wins The Quiz	22 mins	27 Mar 2020
Tapu Makes Everyone Proud	20 mins	27 Mar 2020
Jetha Fools Around With Tarak	20 mins	27 Mar 2020
Waiting For Tappus Call	20 mins	27 Mar 2020
Daya's Surprise	21 mins	27 Mar 2020
Champaklal Is Lost	18 mins	27 Mar 2020
Champaklal On The Eiffel Tower	19 mins	28 Mar 2020
Tapu Sena's Serious Matter	20 mins	12 Aug 2013
Tapus master plan for Independence Day	20 mins	13 Aug 2013
Gokuldham Mein Desh Bhakti Ki Bhavna	20 mins	14 Aug 2013
Colony Members Express Their Love For India	19 mins	15 Aug 2013
Flag Hoisting in Gokuldham society	20 mins	16 Aug 2013
Baghas idea for a Raksha Bandhan offer	21 mins	19 Aug 2013
Daya's Emotional Letter	20 mins	20 Aug 2013
Daya leaves for Ahmadabad	18 mins	21 Aug 2013
Sundars grand surprise on Raksha Bandhan Day	20 mins	22 Aug 2013
Daya ties Rakhi to Sundar on the bank of Sabarmati river	21 mins	23 Aug 2013
Grand welcome of Daya and Jethalal in Rajvadu	19 mins	26 Aug 2013
Popat Shares His Grief	20 mins	30 Jun 2020
Tapu Sena organizes Raas Leela in Gokuldham society	20 mins	28 Aug 2013
Jetha Makes Fun Of Bhide	21 mins	30 Jun 2020
Gokuldham Dahi Handi Utsav 2013	20 mins	30 Aug 2013
Gopal Gala Mandal accepts the challenge	20 mins	02 Sep 2013
Lord Krishna Blesses Gokuldham Society	20 mins	03 Sep 2013
Jethalal Under Observation	20 mins	04 Sep 2013
Jethalal's Worst Nightmare	21 mins	05 Sep 2013
Taarak and Jethalal become Detective	20 mins	06 Sep 2013
Ahmedabad ke Damaad	20 mins	07 Sep 2013
Jethalal, Taarak and Chalu Pandey on a mission	20 mins	09 Sep 2013
Chase between Jethalal and the unknown Person	20 mins	10 Sep 2013
3 big fans of Taarak Mehta	20 mins	11 Sep 2013
Tapus master plan to bring Bappa in Gokuldham	18 mins	12 Sep 2013
Lord Ganesha arrives in Gokuldham society	19 mins	13 Sep 2013
Members stunned to see Tapu Senas decoration	20 mins	16 Sep 2013
Hen becomes a huge trouble for society members	21 mins	17 Sep 2013
Kaun Banega Murga	21 mins	18 Sep 2013
Funny task for Popatlal	21 mins	19 Sep 2013
Taarak Mehta recites poetry on Gokuldham Society	21 mins	20 Sep 2013
Bagha Gets Called To The Stage	21 mins	28 Mar 2020
Iyers Romantic Act	20 mins	28 Mar 2020
A Tough Challenge For Jetha	20 mins	28 Mar 2020
Bhide Gets Furious	20 mins	28 Mar 2020
Popatlals Dreams Are Crushed	19 mins	28 Mar 2020
Popatlal's Hotel Drama	21 mins	28 Mar 2020
Daya Disturbs Jethalal	21 mins	28 Mar 2020
Haathi Is Stuck Under The Tree	19 mins	28 Mar 2020
Gokuldham To The Rescue	21 mins	28 Mar 2020
Haathiss Brothers To The Rescue	19 mins	28 Mar 2020
Babita's Plan Fails	20 mins	28 Mar 2020
Military Helps Haathi	18 mins	28 Mar 2020
Champaklal Shouts At Popatlal	20 mins	28 Mar 2020
Case Against Popatlal	20 mins	28 Mar 2020
Haathi Gives His Statement	19 mins	28 Mar 2020
Daya Is Excited For Navratri Utsav	20 mins	28 Mar 2020
Bhide Takes The Responsibility	20 mins	28 Mar 2020
Abdul Has A Solution	19 mins	28 Mar 2020
Bollywood's Action Hero In Gokuldham	21 mins	28 Mar 2020
Tapu Sena Missing	21 mins	28 Mar 2020
What About The Money?	19 mins	28 Mar 2020
A Big Mistake	19 mins	28 Mar 2020
Champaklal In Trouble	21 mins	28 Mar 2020
Taarak Comes For Rescue	21 mins	28 Mar 2020
Chacha Ji Is Out Of Control	21 mins	28 Mar 2020
Daya Comes Up With A Plan	20 mins	28 Mar 2020
An Antique Radio	20 mins	28 Mar 2020
Bhide Reminisces About Childhood	21 mins	28 Mar 2020
Radio Situation	22 mins	28 Mar 2020
The Haunted Radio	22 mins	28 Mar 2020
The UFO	21 mins	28 Mar 2020
Hrithik Roshan Contacts The Alien	19 mins	28 Mar 2020
Veera Calls Daya	20 mins	28 Mar 2020
Good News For Tappu	20 mins	28 Mar 2020
Tapu's Decision	21 mins	28 Mar 2020
Popatlal's Dream Plan With Sachin	20 mins	28 Mar 2020
Duplicate Tickets	20 mins	28 Mar 2020
An Envelope Of Cash	19 mins	28 Mar 2020
The Ladies Brunch	20 mins	28 Mar 2020
Investing The Money	21 mins	29 Mar 2020
The Necklace Situation	20 mins	29 Mar 2020
Fake Necklace	21 mins	29 Mar 2020
Catching The Culprit	19 mins	29 Mar 2020
The Grand Plan	20 mins	29 Mar 2020
Daya's Great Act	19 mins	29 Mar 2020
Dayas Special Dish	18 mins	29 Mar 2020
Onion Issue	20 mins	29 Mar 2020
Police In The City	21 mins	29 Mar 2020
Police Inspects Gada Electronics	19 mins	29 Mar 2020
Bagha Gets Arrested	20 mins	29 Mar 2020
Daya Breaks Champaklal's Glasses	18 mins	29 Mar 2020
Baawri Is Found	21 mins	29 Mar 2020
Baawri In Gada House	20 mins	29 Mar 2020
Popatlals Morning Dream	19 mins	29 Mar 2020
Bhide Is Irritated	20 mins	29 Mar 2020
Daya And Popatlal In A Bureau	20 mins	29 Mar 2020
Bride Runs Away	21 mins	29 Mar 2020
Popatlal Finds Bulbul	19 mins	29 Mar 2020
Popatlal Being Lucky	20 mins	29 Mar 2020
Daya Worries For Popatlal	20 mins	29 Mar 2020
Police In Gokuldham	19 mins	29 Mar 2020
Bulbul Hides	20 mins	29 Mar 2020
Popatlal Denies To Help	20 mins	29 Mar 2020
Bulbul's Father In Town	20 mins	29 Mar 2020
Tapu Sena Barges Into Popatlal's House	21 mins	29 Mar 2020
Champaklal Has A Doubt	21 mins	29 Mar 2020
A Big Shock To Gokuldham	20 mins	29 Mar 2020
Baldev Singhs Arrival Is Awaited	21 mins	29 Mar 2020
Baldev Accepts The Marriage	18 mins	29 Mar 2020
Bulbul's Shocking Revelation	22 mins	30 Mar 2020
Heartbroken Popatlal	20 mins	30 Mar 2020
Popatlal's Marriage Preparation	20 mins	30 Mar 2020
Worrisome Popatlal	21 mins	30 Mar 2020
Arrival Of Wedding Day	20 mins	30 Mar 2020
The Exchange Of Groom	22 mins	30 Mar 2020
Popatlal's Revelation	21 mins	30 Mar 2020
Daya Misses Sunderlal	21 mins	30 Mar 2020
Jethas Escape Plan	21 mins	30 Mar 2020
Sunderlal's Jalsa Idea	FULL_HD121 mins	30 Mar 2020
Sunder's New Scheme	21 mins	30 Mar 2020
Jethalal Messes Up	21 mins	30 Mar 2020
Tapu Sena Dances	21 mins	30 Mar 2020
Daya To Help Sunder	21 mins	30 Mar 2020
Police Stops The Jalsa	19 mins	30 Mar 2020
Babita Looks For Iyer	21 mins	30 Mar 2020
Champaklal Dances With Tapu Sena	19 mins	30 Mar 2020
Bhide Plans Against Jethalal	21 mins	30 Mar 2020
Bagha Is In Trouble Again	20 mins	30 Mar 2020
Bhide Has A Complain	20 mins	30 Mar 2020
The Confusion Of Pressure Cooker	21 mins	30 Mar 2020
Haathi Examines Bagha	21 mins	30 Mar 2020
Baawris Proposal	21 mins	30 Mar 2020
Bagha Is In Love	21 mins	30 Mar 2020
Baghas New Look	19 mins	30 Mar 2020
Daya Warns Jethalal	19 mins	30 Mar 2020
Jethalals Resolution	20 mins	30 Mar 2020
Popatlal Is Unhappy With The Decision	21 mins	30 Mar 2020
Popatlal Asks To Cancel	20 mins	30 Mar 2020
The Fitness Camp	20 mins	03 Jun 2020
Sophia Performs Yoga	20 mins	03 Jun 2020
Tapu Sena Does Surya Namaskar	20 mins	03 Jun 2020
Jethalals Master Plan To Relax	20 mins	03 Jun 2020
Baaghas Unique Body Massage	20 mins	03 Jun 2020
Jethalal Suffers From Back Pain	21 mins	03 Jun 2020
Jethalal Is Stuck With The Back Pain	20 mins	03 Jun 2020
Tapu Saves His Father	19 mins	03 Jun 2020
Jethalal Is Scared Of injections	21 mins	03 Jun 2020
Jethalal Wants To Get Kicked	19 mins	03 Jun 2020
Stay Fit Stay Happy	20 mins	03 Jun 2020
A New Security Guard	20 mins	03 Jun 2020
Anjali Asks For A Surprise Gift	20 mins	03 Jun 2020
Deciding A Surprise Gift	20 mins	03 Jun 2020
The New Saaree	18 mins	03 Jun 2020
Taarak Solves The Problem	21 mins	03 Jun 2020
Dayas Suggestion To Jethalal	19 mins	03 Jun 2020
The New Game	19 mins	03 Jun 2020
The Extra Class	19 mins	03 Jun 2020
The Secret Unfolds	18 mins	03 Jun 2020
Seeking The Truth	20 mins	03 Jun 2020
The Great Argument	21 mins	03 Jun 2020
Finding Tapu	20 mins	03 Jun 2020
The Singing Contest	20 mins	03 Jun 2020
Madhvis Excitement	21 mins	03 Jun 2020
A New Scooter	19 mins	03 Jun 2020
Champaklal Meets With An Accident	21 mins	03 Jun 2020
Madhvi Feels Down	19 mins	03 Jun 2020
Madhvis Surprise Plan	20 mins	03 Jun 2020
The Surprise Party	21 mins	03 Jun 2020
Bhide And Madhvi Are Surprised	20 mins	03 Jun 2020
The Grand Celebration	18 mins	03 Jun 2020
Popatlal On A Mission	20 mins	03 Jun 2020
No Holi Celebrations For Gokuldham Society?	18 mins	03 Jun 2020
Jethalal Gets Sick	20 mins	26 May 2020
Popatlals Secret Planning	18 mins	26 May 2020
The Secret Party	20 mins	26 May 2020
Secret Gets Revealed	21 mins	26 May 2020
Sodhi Goes Missing	19 mins	26 May 2020
Finding Sodhi	20 mins	26 May 2020
Everyone Gets Worried	19 mins	26 May 2020
Sodhis Missing Complaint	20 mins	26 May 2020
Chalu Pandey Investigating The Case	20 mins	26 May 2020
Angry Protestors Raid Gokuldham Society	19 mins	26 May 2020
Kidnapper Demands Ransom	19 mins	26 May 2020
Mission Sodhi	20 mins	26 May 2020
Kidnapper's Tricky Plan	20 mins	26 May 2020
The Shocking Truth	21 mins	26 May 2020
Sodhis Return	21 mins	26 May 2020
Strange Things Happening	19 mins	26 May 2020
Ghost In Gokuldham Society	20 mins	26 May 2020
Googi Gets Scared	19 mins	26 May 2020
Jethalal Gets Frightened	21 mins	26 May 2020
Scary Situation At Gokuldham Society	21 mins	26 May 2020
Tam Tam The Ghost Catcher	21 mins	26 May 2020
Bhootnath's Entry	18 mins	26 May 2020
The Poetic Party	19 mins	26 May 2020
Dayas Garba Dance	20 mins	26 May 2020
Lassi Competition	18 mins	26 May 2020
Prank On Jeethalal	22 mins	26 May 2020
Sodhis Car Accident	19 mins	26 May 2020
Dayas Nightmare Coming True	20 mins	26 May 2020
Climbing The Coconut Tree	20 mins	26 May 2020
Solving Jethalals Problem	20 mins	26 May 2020
Jethalal Completes The Task	21 mins	26 May 2020
Daya's Prank On Jethalal	20 mins	26 May 2020
The Strange Man	20 mins	26 May 2020
Sundarlal Seeks Jethalals Help	21 mins	26 May 2020
Jethalals Family Reaches Ahmedabad	20 mins	26 May 2020
Sundars Election Plan	21 mins	26 May 2020
Sundarlal Stands In the Elections	21 mins	
Campaigning For Sundar	18 mins	
Jethalal Plays A Trick	21 mins	
Popatlals Ambitious Step	21 mins	
Popatlal Is In A  Dilemma	21 mins	
First Love	21 mins	
Popatlals Undying Effort	21 mins	
Tension In The Air	20 mins	
The Results	22 mins	
Party Time In Gokuldham	20 mins	
Bhides Hair Worries	21 mins	26 May 2020
Tapu Senas Nature Trail	21 mins	26 May 2020
Who Insulted Goli?	21 mins	26 May 2020
Tapu Sena Saves Goli	20 mins	26 May 2020
Jethalal Can't Stop Worrying	20 mins	26 May 2020
Is Bagha In Trouble?	21 mins	26 May 2020
Jethalal Realises Baghas Importance	20 mins	26 May 2020
An Unknown Suitcase	20 mins	26 May 2020
A Bomb Threat	18 mins	26 May 2020
Iyers Promotion Worries	19 mins	26 May 2020
Is Babitas Mood Ruined?	20 mins	26 May 2020
Gokuldham Society Celebrates Iyers Promotion	18 mins	26 May 2020
Dayas Gift To Iyer	20 mins	26 May 2020
Iyers Revenge	18 mins	26 May 2020
The Felicitation Programme	19 mins	27 May 2020
The Lungi Dance	20 mins	27 May 2020
The Cricket Match	20 mins	27 May 2020
The Gokuldham Premier League	19 mins	27 May 2020
Selecting The Team Members	19 mins	27 May 2020
Members Are Divided	19 mins	27 May 2020
Cricket Practice	18 mins	04 Jun 2020
Tough Competition	20 mins	04 Jun 2020
Motivational Speech	21 mins	04 Jun 2020
Taarak Wins The Toss	22 mins	04 Jun 2020
Gokuldham Premier League	20 mins	04 Jun 2020
Jethalals Winning Plan	20 mins	04 Jun 2020
High Expectations On Daya	20 mins	04 Jun 2020
Jethalals Master Plan	21 mins	04 Jun 2020
Jethalal's Batting	20 mins	04 Jun 2020
Final Match	20 mins	04 Jun 2020
Bapujis Batting Skills	20 mins	04 Jun 2020
Waiting For Results	20 mins	04 Jun 2020
Umpires Final Decision	19 mins	04 Jun 2020
Vidya Balans Entry	20 mins	04 Jun 2020
Jethalal Wins The Match	20 mins	04 Jun 2020
Jethalals Happiness	20 mins	04 Jun 2020
Daya Reaches CID Bureau	20 mins	04 Jun 2020
Dayas Special Lunch	20 mins	04 Jun 2020
Strangers Plan	20 mins	04 Jun 2020
Suspicious Stranger	21 mins	04 Jun 2020
Precious Stone	19 mins	10 Jul 2014
Finding A Buyer	23 mins	05 Jun 2020
Ajay Diwans Plan	20 mins	05 Jun 2020
CID Enters Gokuldham	19 mins	05 Jun 2020
ACP Pradyumans Team Investigates	20 mins	05 Jun 2020
Mystery Of The Thief	20 mins	05 Jun 2020
Revealing The Name	19 mins	05 Jun 2020
Proving The Innocence	19 mins	05 Jun 2020
The Shocking Revelation	19 mins	05 Jun 2020
Babloo Is Lost	20 mins	05 Jun 2020
The Killer Is Revealed	19 mins	05 Jun 2020
A Shocking Truth	17 mins	05 Jun 2020
Collecting The Funds	20 mins	05 Jun 2020
Tapu Wants A New Bag	19 mins	05 Jun 2020
Sonu Reveals A Shocking Truth	20 mins	05 Jun 2020
The Winner Is Declared	19 mins	05 Jun 2020
A Massive Argument	20 mins	05 Jun 2020
The Undying Excitement	20 mins	05 Jun 2020
Iyer Is In Trouble	19 mins	05 Jun 2020
Iyer Misses His Flight	19 mins	05 Jun 2020
Jethalal Gets Romantic	20 mins	31 May 2020
Tapped In The Garden	19 mins	31 May 2020
The Disneyland	19 mins	31 May 2020
Bhide Is Lost	20 mins	31 May 2020
Bhide Is Nowhere To Be Found	20 mins	31 May 2020
The Passport	18 mins	31 May 2020
The Wrath Of Iyer	18 mins	31 May 2020
A Safe Return?	19 mins	31 May 2020
The Intruder	20 mins	31 May 2020
The Journey Video	19 mins	31 May 2020
Anjali Breakdowns In Tears	20 mins	31 May 2020
The Promise	19 mins	31 May 2020
The Promise Is Kept	20 mins	31 May 2020
The Special Surprise	19 mins	31 May 2020
Keeping A Secret	20 mins	31 May 2020
The 'Rat' Problem	19 mins	31 May 2020
The Master Plan	19 mins	31 May 2020
Lord Ganesh In Gokuldham	19 mins	31 May 2020
The Ccompetition Is On	18 mins	31 May 2020
Finding A Solution	20 mins	31 May 2020
8 Wonders Of The World	19 mins	31 May 2020
Time For Promotion	20 mins	31 May 2020
The Special Gifts	20 mins	31 May 2020
A Special Guest	16 mins	31 May 2020
Celebrations Are On Hold	21 mins	31 May 2020
Time To Pay Up	20 mins	31 May 2020
Where Is The Money?	20 mins	31 May 2020
